Timestamp,Position_X,Position_Y,Position_Z,Camera_ID,Trial_ID,Modus,Target_ID
163,-0.03207060000000002,1.2041568857142864,0.21071188571428584,Cam1,1,Free,1
164,-0.07101857142857146,1.225158200000001,0.19747171428571442,Cam1,1,Free,1
165,-0.037400171428571445,1.2110020571428581,0.19830928571428583,Cam1,1,Free,1
166,0.004353457142857144,1.1934544000000007,0.19097117142857153,merged,1,Free,1
167,0.034709600000000014,1.181819771428572,0.1779792000000001,merged,1,Free,1
168,0.02491188571428573,1.190351314285715,0.16382480000000008,merged,1,Free,1
169,0.02652405714285716,1.1924945714285722,0.15713594285714294,merged,1,Free,1
170,0.02703774285714287,1.1942658000000006,0.15145385714285722,merged,1,Free,1
171,0.026913828571428586,1.1972763428571436,0.14611805714285722,merged,1,Free,1
172,0.02772985714285716,1.2006098857142864,0.13857134285714293,merged,1,Free,1
173,0.026762371428571446,1.2038693142857149,0.1283844857142858,merged,1,Free,1
174,0.0248399142857143,1.2055420857142864,0.11758648571428579,merged,1,Free,1
175,0.025282942857142873,1.2078176857142862,0.10826751428571435,merged,1,Free,1
176,0.024302571428571444,1.2116682857142864,0.09677088571428577,merged,1,Free,1
177,0.01917294285714287,1.2164333428571434,0.0847093428571429,merged,1,Free,1
178,0.01708088571428573,1.220785914285715,0.07590311428571433,merged,1,Free,1
179,0.01864534285714287,1.2239452285714292,0.06955968571428575,merged,1,Free,1
180,0.020102228571428585,1.2270977428571437,0.06119100000000002,merged,1,Free,1
181,0.017762000000000014,1.2311865714285721,0.05222620000000003,merged,1,Free,1
182,0.02032794285714287,1.2356963714285722,0.0465568285714286,merged,1,Free,1
183,0.023888771428571442,1.2383882000000006,0.04139951428571431,merged,1,Free,1
184,0.027373914285714302,1.2403816857142862,0.03266268571428573,merged,1,Free,1
185,0.028319371428571445,1.2430389428571438,0.023655600000000013,merged,1,Free,1
186,0.026959942857142875,1.2448116285714295,0.015252742857142863,merged,1,Free,1
187,0.027329971428571444,1.2467248285714292,0.007077285714285718,merged,1,Free,1
188,0.02927948571428573,1.2487116571428578,-0.002979514285714287,merged,1,Free,1
189,0.031625885714285734,1.2512743714285721,-0.007129057142857147,merged,1,Free,1
190,0.036307085714285744,1.2501027428571436,-0.016362628571428582,merged,1,Free,1
191,0.04286645714285717,1.2488110857142865,-0.026809457142857155,merged,1,Free,1
192,0.04768728571428574,1.246310714285715,-0.0349493142857143,merged,1,Free,1
193,0.04658640000000002,1.245762257142858,-0.034475714285714304,merged,1,Free,1
194,0.046784171428571455,1.2460331714285722,-0.033788457142857165,merged,1,Free,1
195,0.04668048571428574,1.245438514285715,-0.034268714285714305,merged,1,Free,1
196,0.04765948571428574,1.2422680285714294,-0.0356255142857143,merged,1,Free,1
197,0.04997000000000002,1.2377836285714294,-0.03686297142857145,merged,1,Free,1
